epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.3244,1.5723,3.63032,1.78036,0.53447,0.32345,0.35041,0.17582,1.65019,2.3166,2.03322,0.00332378,0.00332378,0.00332378
2,153.446,1.40737,2.10768,1.59818,0.53221,0.53459,0.54409,0.28946,1.59033,1.64502,1.98582,0.00662416,0.00662416,0.00662416
3,227.296,1.45176,2.04172,1.63607,0.51397,0.4336,0.45773,0.21528,1.77535,1.95162,2.22503,0.00989154,0.00989154,0.00989154
4,301.895,1.52395,2.183,1.70553,0.52591,0.32457,0.40307,0.206,1.74627,2.1819,2.17175,0.0098515,0.0098515,0.0098515
5,374.965,1.52256,2.12886,1.70667,0.54753,0.56175,0.58917,0.28646,1.74946,1.60236,2.12776,0.009802,0.009802,0.009802
6,451.388,1.48081,1.96615,1.66279,0.62507,0.57751,0.6286,0.30671,1.75654,1.49502,2.09208,0.0097525,0.0097525,0.0097525
7,529.568,1.45258,1.8655,1.64614,0.69264,0.57524,0.63816,0.32793,1.73062,1.44287,2.09409,0.009703,0.009703,0.009703
8,604.378,1.44477,1.82604,1.63531,0.772,0.64092,0.73332,0.40936,1.52504,1.23472,1.90696,0.0096535,0.0096535,0.0096535
9,678.318,1.41926,1.75983,1.61522,0.73774,0.68877,0.74939,0.40944,1.54632,1.17454,1.9163,0.009604,0.009604,0.009604
10,752.377,1.40665,1.69017,1.60281,0.75481,0.59994,0.69384,0.34967,1.69139,1.41669,2.04407,0.0095545,0.0095545,0.0095545
11,826.204,1.38718,1.65564,1.58689,0.6514,0.71109,0.72292,0.40927,1.54835,1.18765,1.91415,0.009505,0.009505,0.009505
12,899.3,1.35709,1.60635,1.56331,0.78815,0.73819,0.78963,0.42344,1.65429,1.10184,2.0269,0.0094555,0.0094555,0.0094555
13,972.615,1.35439,1.57564,1.56877,0.76932,0.8124,0.83031,0.47737,1.47421,0.9587,1.82988,0.009406,0.009406,0.009406
14,1046.23,1.34265,1.53332,1.55565,0.79796,0.74796,0.81452,0.44436,1.5543,1.00736,1.91549,0.0093565,0.0093565,0.0093565
15,1120.51,1.32882,1.48077,1.53777,0.81973,0.80703,0.85245,0.51326,1.43718,0.90913,1.79091,0.009307,0.009307,0.009307
16,1194.13,1.30695,1.45536,1.52428,0.76698,0.81169,0.86504,0.51837,1.40595,0.88229,1.7529,0.0092575,0.0092575,0.0092575
17,1268.07,1.29234,1.4343,1.51585,0.83591,0.78095,0.86268,0.5244,1.41308,0.87792,1.78402,0.009208,0.009208,0.009208
18,1343.03,1.29017,1.41583,1.5071,0.78887,0.84354,0.87399,0.56136,1.2793,0.80422,1.65873,0.0091585,0.0091585,0.0091585
