epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.438,1.22168,3.40655,1.57914,0.44986,0.46018,0.41251,0.26384,1.2032,2.11406,1.73174,0.000174831,0.000174831,0.000174831
2,250.808,1.21019,2.49311,1.54898,0.49935,0.45503,0.50515,0.30224,1.30644,1.92005,1.78571,0.000343231,0.000343231,0.000343231
3,371.331,1.22054,2.15252,1.5379,0.55537,0.47506,0.48947,0.29566,1.32746,2.10876,1.8815,0.000504688,0.000504688,0.000504688
4,492.802,1.18164,1.96477,1.51435,0.6482,0.63352,0.69345,0.43679,1.21061,1.3675,1.66998,0.000494756,0.000494756,0.000494756
5,625.194,1.16388,1.75896,1.48239,0.66208,0.65879,0.70959,0.46208,1.1556,1.32114,1.60781,0.000484341,0.000484341,0.000484341
6,762.404,1.1285,1.60195,1.45403,0.79033,0.67992,0.76828,0.50592,1.14744,1.16501,1.60044,0.000473926,0.000473926,0.000473926
7,894.311,1.08848,1.50223,1.42149,0.77942,0.70665,0.77957,0.53393,1.08264,1.091,1.53953,0.000463511,0.000463511,0.000463511
8,1016.56,1.08287,1.42065,1.42157,0.80402,0.7723,0.81638,0.56427,1.03239,1.027,1.48654,0.000453096,0.000453096,0.000453096
9,1140.62,1.07525,1.33928,1.40981,0.80433,0.77472,0.83335,0.57484,1.05704,0.94071,1.50657,0.000442682,0.000442682,0.000442682
10,1269.25,1.05185,1.26439,1.39299,0.78348,0.78124,0.84705,0.60031,1.04536,0.9101,1.49461,0.000432267,0.000432267,0.000432267
11,1398.44,1.02137,1.21315,1.36456,0.78592,0.81524,0.85798,0.611,1.02354,0.84958,1.49132,0.000421852,0.000421852,0.000421852
12,1519.94,1.01516,1.17406,1.36458,0.81723,0.85693,0.90078,0.65582,0.94091,0.75432,1.38812,0.000411437,0.000411437,0.000411437
13,1640.09,0.99606,1.13134,1.35236,0.83486,0.86707,0.92355,0.68127,0.93978,0.76873,1.40549,0.000401022,0.000401022,0.000401022
14,1764.9,0.9802,1.10116,1.33803,0.88838,0.83116,0.92618,0.68804,0.94293,0.71523,1.38156,0.000390608,0.000390608,0.000390608
15,107.725,0.97049,1.05726,1.33197,0.83989,0.82812,0.89974,0.66428,0.91837,0.7553,1.35457,0.000380193,0.000380193,0.000380193
16,215.896,0.95616,1.0459,1.32202,0.85387,0.87793,0.92106,0.68488,0.9337,0.69778,1.38941,0.000369778,0.000369778,0.000369778
17,333.297,0.94711,1.00281,1.31698,0.88068,0.88776,0.93989,0.70772,0.88945,0.66655,1.33628,0.000359363,0.000359363,0.000359363
18,447.518,0.91962,0.97174,1.30051,0.88649,0.92036,0.94481,0.71614,0.8747,0.6182,1.31633,0.000348948,0.000348948,0.000348948
19,557.169,0.92209,0.96046,1.29097,0.90379,0.89321,0.94922,0.72691,0.84942,0.65091,1.29506,0.000338534,0.000338534,0.000338534
20,676.102,0.90585,0.923,1.28333,0.89965,0.91935,0.9484,0.72579,0.85779,0.59583,1.30618,0.000328119,0.000328119,0.000328119
21,801.273,0.88793,0.89236,1.26753,0.88292,0.90801,0.94698,0.7353,0.83528,0.60006,1.28889,0.000317704,0.000317704,0.000317704
22,924.324,0.8799,0.87759,1.27028,0.89471,0.92391,0.9598,0.74529,0.83966,0.57193,1.28967,0.000307289,0.000307289,0.000307289
23,1048.25,0.88154,0.84877,1.26354,0.89307,0.92899,0.95607,0.73318,0.85867,0.57917,1.29493,0.000296874,0.000296874,0.000296874
24,122.546,0.84498,0.80303,1.23879,0.90163,0.92351,0.94958,0.74106,0.8197,0.55762,1.27305,0.00028646,0.00028646,0.00028646
25,240.756,0.83017,0.78974,1.23012,0.92757,0.92747,0.95952,0.75296,0.83102,0.53739,1.28062,0.000276045,0.000276045,0.000276045
26,361.183,0.82808,0.77136,1.22676,0.93207,0.92309,0.95982,0.75493,0.81828,0.53908,1.25874,0.00026563,0.00026563,0.00026563
27,472.345,0.803,0.75541,1.218,0.91089,0.94652,0.96114,0.75478,0.79992,0.51516,1.24775,0.000255215,0.000255215,0.000255215
28,583.804,0.79853,0.74554,1.20569,0.92536,0.94638,0.96739,0.76642,0.78781,0.51288,1.23899,0.0002448,0.0002448,0.0002448
29,695.298,0.78469,0.72267,1.20031,0.91132,0.94615,0.9618,0.77166,0.77122,0.50323,1.22797,0.000234386,0.000234386,0.000234386
30,806.703,0.78083,0.70275,1.19369,0.92335,0.95105,0.97057,0.77899,0.76454,0.49624,1.23068,0.000223971,0.000223971,0.000223971
31,917.628,0.7664,0.68787,1.18922,0.93525,0.95031,0.97047,0.77315,0.77204,0.48995,1.22574,0.000213556,0.000213556,0.000213556
32,1028.52,0.7676,0.67323,1.18653,0.91395,0.9473,0.96587,0.7718,0.78007,0.48542,1.22464,0.000203141,0.000203141,0.000203141
33,1137.4,0.8143,0.73246,1.21578,0.93191,0.94054,0.96751,0.77633,0.76969,0.48408,1.22014,0.000192726,0.000192726,0.000192726
34,1245.93,0.79834,0.71406,1.19984,0.93588,0.94395,0.96862,0.78654,0.74603,0.46873,1.20102,0.000182312,0.000182312,0.000182312
35,1358.65,0.79144,0.70301,1.20035,0.94964,0.95072,0.97147,0.79255,0.74411,0.46592,1.20075,0.000171897,0.000171897,0.000171897
36,1472.1,0.7789,0.68948,1.19433,0.9493,0.95358,0.97151,0.79102,0.73885,0.45756,1.19098,0.000161482,0.000161482,0.000161482
37,1586.45,0.76345,0.67182,1.1834,0.93803,0.95387,0.97301,0.79145,0.74653,0.45367,1.20298,0.000151067,0.000151067,0.000151067
38,1698.88,0.78476,0.69354,1.19639,0.94877,0.94955,0.96932,0.79076,0.73873,0.44713,1.18658,0.000140652,0.000140652,0.000140652
39,112.845,0.71418,0.61183,1.14941,0.95333,0.94489,0.97007,0.79531,0.73598,0.44475,1.18986,0.000130238,0.000130238,0.000130238
40,229.956,0.70337,0.59925,1.14476,0.94047,0.96531,0.97267,0.80014,0.7288,0.43755,1.17881,0.000119823,0.000119823,0.000119823
41,336.094,0.6398,0.46882,1.12865,0.94257,0.95314,0.97227,0.80454,0.70443,0.43098,1.16387,0.000109408,0.000109408,0.000109408
42,444.331,0.60711,0.43154,1.10505,0.93915,0.96386,0.97375,0.81004,0.69384,0.41991,1.14886,9.89932e-05,9.89932e-05,9.89932e-05
43,550.714,0.60508,0.42032,1.09987,0.95021,0.9615,0.9757,0.81637,0.67785,0.41276,1.13434,8.85784e-05,8.85784e-05,8.85784e-05
44,658.49,0.58905,0.40675,1.08304,0.95207,0.96738,0.97945,0.82162,0.67596,0.39932,1.12878,7.81636e-05,7.81636e-05,7.81636e-05
45,766.347,0.57995,0.39552,1.07444,0.95746,0.96701,0.97647,0.8185,0.66444,0.39419,1.12481,6.77488e-05,6.77488e-05,6.77488e-05
46,875.04,0.57179,0.3893,1.07037,0.95842,0.96497,0.97836,0.82543,0.6557,0.39123,1.11319,5.7334e-05,5.7334e-05,5.7334e-05
47,982.633,0.56524,0.38319,1.06555,0.95874,0.96213,0.97812,0.82674,0.65671,0.38532,1.11757,4.69192e-05,4.69192e-05,4.69192e-05
48,1091.47,0.55617,0.37552,1.06172,0.96121,0.96533,0.97884,0.83016,0.65527,0.38335,1.11501,3.65044e-05,3.65044e-05,3.65044e-05
49,1200.12,0.54249,0.36808,1.04445,0.96421,0.96525,0.97919,0.83254,0.65146,0.37776,1.11617,2.60896e-05,2.60896e-05,2.60896e-05
50,1308.12,0.53865,0.36187,1.0472,0.96415,0.9651,0.97929,0.83524,0.64316,0.37295,1.10809,1.56748e-05,1.56748e-05,1.56748e-05
