epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.386,1.30261,3.46323,1.64214,0.5412,0.42937,0.45534,0.2975,1.21953,1.90047,1.71487,0.00332378,0.00332378,0.00332378
2,291.864,1.15504,1.82237,1.48902,0.58062,0.59123,0.62165,0.39039,1.25518,1.52813,1.76013,0.00661318,0.00661318,0.00661318
3,434.183,1.24318,1.76975,1.5431,0.5676,0.37654,0.42176,0.23881,1.51818,2.2076,2.08792,0.00985857,0.00985857,0.00985857
4,575.639,1.32292,1.90552,1.61574,0.52935,0.61924,0.62291,0.37081,1.37002,1.55473,1.83476,0.009802,0.009802,0.009802
5,716.48,1.31288,1.81481,1.59148,0.61454,0.6359,0.65174,0.39949,1.30476,1.45647,1.76392,0.009736,0.009736,0.009736
6,857.041,1.26646,1.65563,1.55533,0.59843,0.63196,0.64426,0.40276,1.35433,1.4122,1.86734,0.00967,0.00967,0.00967
7,996.533,1.21627,1.56983,1.51361,0.69652,0.65664,0.72839,0.4734,1.21735,1.13998,1.69036,0.009604,0.009604,0.009604
8,1138.19,1.20798,1.4972,1.50979,0.70246,0.6622,0.75302,0.49387,1.2002,1.1667,1.67722,0.009538,0.009538,0.009538
9,1280.05,1.1902,1.41307,1.48897,0.74917,0.71761,0.77288,0.51072,1.16183,1.05177,1.61804,0.009472,0.009472,0.009472
10,1420.42,1.15009,1.32706,1.45801,0.7404,0.71143,0.78646,0.52323,1.15418,1.00717,1.63182,0.009406,0.009406,0.009406
11,1563.77,1.13073,1.26155,1.43617,0.78285,0.79985,0.83846,0.57798,1.09933,0.85399,1.55401,0.00934,0.00934,0.00934
12,1704.71,1.11889,1.23149,1.42938,0.79315,0.82245,0.87414,0.6132,1.05826,0.84055,1.50387,0.009274,0.009274,0.009274
13,1844.27,1.09552,1.19479,1.41839,0.73751,0.85176,0.86119,0.61796,1.012,0.807,1.46744,0.009208,0.009208,0.009208
14,1986.21,1.07582,1.15481,1.40311,0.83683,0.82484,0.90796,0.65417,1.02734,0.77798,1.4731,0.009142,0.009142,0.009142
15,2126.18,1.06858,1.12232,1.39259,0.80292,0.83108,0.87611,0.63111,0.98866,0.77771,1.45349,0.009076,0.009076,0.009076
16,2269.86,1.04641,1.09389,1.38221,0.81879,0.85543,0.90557,0.65927,1.00318,0.74652,1.44936,0.00901,0.00901,0.00901
17,2410.6,1.04341,1.07031,1.37496,0.88953,0.85481,0.9227,0.67763,0.949,0.67537,1.40565,0.008944,0.008944,0.008944
18,2550.5,1.03159,1.03201,1.36239,0.76892,0.8889,0.90963,0.66625,0.97185,0.69751,1.42622,0.008878,0.008878,0.008878
19,2690.27,1.01807,1.02764,1.35483,0.82285,0.86727,0.90961,0.66004,1.01472,0.70799,1.47063,0.008812,0.008812,0.008812
20,2829.96,0.99439,0.98319,1.34863,0.84682,0.90412,0.93131,0.69582,0.91681,0.63734,1.3592,0.008746,0.008746,0.008746
21,2970.42,0.99824,0.97288,1.3449,0.8705,0.88513,0.93011,0.69993,0.93077,0.65233,1.38986,0.00868,0.00868,0.00868
22,3108.54,0.99173,0.95338,1.33425,0.90049,0.88805,0.94148,0.71857,0.90364,0.60096,1.36443,0.008614,0.008614,0.008614
23,3248.15,0.9802,0.9341,1.32268,0.89039,0.91501,0.95073,0.71473,0.91409,0.59785,1.3733,0.008548,0.008548,0.008548
24,3387.8,0.95766,0.91288,1.31344,0.89782,0.90212,0.9356,0.70952,0.91265,0.58194,1.37019,0.008482,0.008482,0.008482
25,3528.74,0.94839,0.88174,1.30303,0.90409,0.92625,0.95265,0.72748,0.87114,0.57184,1.31919,0.008416,0.008416,0.008416
26,3671.27,0.9393,0.87914,1.30111,0.90865,0.91932,0.95691,0.73609,0.86221,0.55363,1.32006,0.00835,0.00835,0.00835
27,3813.82,0.94234,0.86111,1.29367,0.89368,0.9403,0.95603,0.74241,0.85863,0.54137,1.29655,0.008284,0.008284,0.008284
28,3952.92,0.94648,0.86931,1.30234,0.88931,0.92641,0.95412,0.7271,0.89762,0.55242,1.34562,0.008218,0.008218,0.008218
29,4093.31,0.93325,0.84799,1.28783,0.90498,0.90855,0.95174,0.73209,0.86957,0.55505,1.31956,0.008152,0.008152,0.008152
30,4231.08,0.91107,0.82717,1.27464,0.90444,0.92562,0.95528,0.74764,0.836,0.51788,1.28238,0.008086,0.008086,0.008086
31,4370.03,0.91106,0.82052,1.27025,0.9225,0.92345,0.95543,0.7584,0.82759,0.51093,1.28379,0.00802,0.00802,0.00802
32,4512.44,0.90278,0.79172,1.25902,0.89829,0.94958,0.95146,0.75418,0.81019,0.51241,1.25831,0.007954,0.007954,0.007954
33,4653.7,0.89684,0.78493,1.26173,0.93152,0.93001,0.96803,0.75674,0.80879,0.49062,1.25981,0.007888,0.007888,0.007888
34,4794.59,0.88526,0.77815,1.25337,0.9299,0.95473,0.96507,0.75641,0.80764,0.47924,1.24942,0.007822,0.007822,0.007822
35,4935.14,0.8733,0.76985,1.25473,0.9265,0.94531,0.96425,0.76895,0.79253,0.47879,1.24219,0.007756,0.007756,0.007756
36,5074.9,0.86632,0.75573,1.2483,0.93892,0.93874,0.96997,0.76757,0.79576,0.47379,1.24963,0.00769,0.00769,0.00769
37,5214.99,0.8693,0.73965,1.24581,0.93996,0.94694,0.96938,0.78367,0.76518,0.45411,1.22225,0.007624,0.007624,0.007624
38,5355.51,0.86385,0.74573,1.24113,0.92467,0.94953,0.96831,0.77978,0.78356,0.45806,1.22767,0.007558,0.007558,0.007558
39,5495.43,0.8588,0.74149,1.23573,0.9357,0.93749,0.96554,0.77188,0.78811,0.46207,1.2395,0.007492,0.007492,0.007492
40,5636.17,0.84557,0.72057,1.22513,0.95639,0.94091,0.9702,0.78607,0.7588,0.4429,1.21762,0.007426,0.007426,0.007426
41,5776.72,0.84193,0.72161,1.23061,0.93878,0.94719,0.97109,0.78442,0.76392,0.45714,1.22167,0.00736,0.00736,0.00736
42,5918.19,0.84066,0.71396,1.22438,0.94884,0.93942,0.96662,0.77961,0.75926,0.43765,1.21278,0.007294,0.007294,0.007294
43,6059.08,0.83272,0.70839,1.21634,0.93771,0.93306,0.97145,0.77892,0.77308,0.43825,1.22718,0.007228,0.007228,0.007228
